,expected,cellID,pulse_index,freq,sample_size,gamma,slope,r2_sdn,r2_lin
145,0,5291.0,5.0,40.0,8,6.5817429687499995,0.7375046875,-0.7981725859664823,-1.0630419523393129
146,0,5291.0,5.0,30.0,8,1.98573984375,0.36592265625,-3.2944211924991746,-6.98690561331132
148,0,5291.0,6.0,1000.0,32,4.481589453125,0.59795625,-1.395089759183639,-2.302877640204874
149,0,5291.0,6.0,20.0,8,4.51796640625,0.550148828125,-18.129114516321938,-33.483138642271705
150,0,5291.0,6.0,50.0,8,7.5704125,0.867331640625,-9.303403559576976,-11.22026155914043
151,0,5291.0,6.0,40.0,8,6.1905296875,0.7118140625,-0.43942558757278993,-0.7135686505937935
152,0,5291.0,6.0,30.0,8,2.39394296875,0.4167921875,-2.6434622139086597,-7.346288879463275
154,0,5291.0,7.0,1000.0,32,4.1532203125,0.57255390625,-0.9967868243744524,-1.6993032005087736
155,0,5291.0,7.0,20.0,8,5.2642042968750005,0.576127734375,-0.02565511112473473,-0.6191224006813663
156,0,5291.0,7.0,50.0,8,7.2733375,0.827192578125,-11.094342740900593,-13.86670424499408
157,0,5291.0,7.0,40.0,8,4.2195265625000005,0.605424609375,-0.3624657060888825,-0.6887453794165772
158,0,5291.0,7.0,30.0,8,2.1627859374999994,0.390769140625,-1.3149632749026248,-2.5826250731494977
160,0,5291.0,8.0,1000.0,32,3.18105234375,0.500832421875,-2.009376090210887,-3.3940404031761933
161,0,5291.0,8.0,20.0,8,3.5114304687500004,0.48076874999999997,-1.9412859257534514,-3.7657874798841764
162,0,5291.0,8.0,50.0,8,7.129094531250001,0.821821484375,-5.024192206817189,-6.275911149183738
163,0,5291.0,8.0,40.0,8,2.484275,0.4562546875,-1.4028691662965382,-2.5588076660652836
164,0,5291.0,8.0,30.0,8,2.02109609375,0.37168203125,-2.8999604552828777,-5.498675444781146
166,0,5211.0,1000.0,1000.0,288,2.8230421874999996,0.4779832031250001,0.12966660423542964,-0.002176647362042594
167,0,5211.0,0.0,1000.0,32,7.2830031250000005,0.692426953125,0.5008181568573395,0.4690714507530377
168,0,5211.0,0.0,20.0,8,4.98378671875,0.57393046875,0.7857916721072675,0.7914827420110856
170,0,5211.0,0.0,40.0,8,3.929055078125,0.57773671875,0.7948500535967269,0.8198217804346462
171,0,5211.0,0.0,30.0,8,4.53945078125,0.572365625,0.7487701826566527,0.8728546823107957
173,0,5211.0,1.0,1000.0,32,7.2830031250000005,0.692426953125,0.5008181568573395,0.4690714507530377
174,0,5211.0,1.0,20.0,8,4.98378671875,0.57393046875,0.7857916721072675,0.7914827420110856
176,0,5211.0,1.0,40.0,8,3.929055078125,0.57773671875,0.7948500535967269,0.8198217804346462
177,0,5211.0,1.0,30.0,8,4.53945078125,0.572365625,0.7487701826566527,0.8728546823107957
179,0,5211.0,2.0,1000.0,32,4.3903367187499995,0.592729296875,0.049353126965589356,-0.11387377242401153
180,0,5211.0,2.0,20.0,8,4.4691941406249995,0.552878515625,0.8662593173053633,0.7192889598005189
182,0,5211.0,2.0,40.0,8,1.109175,0.274369921875,-0.5646985577710228,-1.7526389763522827
183,0,5211.0,2.0,30.0,8,2.32480703125,0.422075,-0.06990875971953803,-2.261153279794397
185,0,5211.0,3.0,1000.0,32,3.4193894531250004,0.52675546875,0.11417512808069652,-0.05654070496463848
186,0,5211.0,3.0,20.0,8,3.2809617187500004,0.4799363281249999,0.40278684707620727,0.3003499772365257
188,0,5211.0,3.0,40.0,8,1.11972890625,0.286965234375,-0.06680070185262266,-0.4752487033235304
189,0,5211.0,3.0,30.0,8,2.4230515625000004,0.4325171875,0.6696114471256671,0.4394075499946897
191,0,5211.0,4.0,1000.0,32,2.5114304687500004,0.45038359375000003,0.11663846127400546,-0.11084226729136692
192,0,5211.0,4.0,20.0,8,2.5259230468749996,0.417436328125,0.5149806014873598,0.30801294239158483
193,0,5211.0,4.0,50.0,8,20.319380078125,0.9127859375,0.4394207166378392,0.37631948066825693
194,0,5211.0,4.0,40.0,8,0.931440625,0.2528296875,-0.2972866393725375,-1.6929340456277062
195,0,5211.0,4.0,30.0,8,1.71220234375,0.35605703125,0.6864997825783299,0.507028207051462
197,0,5211.0,5.0,1000.0,32,2.1690453125,0.41483906250000013,0.033638408156678956,-0.3081746806386463
198,0,5211.0,5.0,20.0,8,2.816262109375,0.443559375,-0.023988236014715003,-0.8992945799025596
199,0,5211.0,5.0,50.0,8,8.76581328125,0.7917921875,0.3716939319985364,0.20909818713336525
200,0,5211.0,5.0,40.0,8,0.8698171875,0.237160546875,-0.457188613626474,-2.9741703245256477
201,0,5211.0,5.0,30.0,8,1.16660390625,0.27968515625,0.2427933557417824,-0.040097405721344126
203,0,5211.0,6.0,1000.0,32,1.499855859375,0.33046640625,-0.019299494590351296,-0.38170745416391316
204,0,5211.0,6.0,20.0,8,1.96748515625,0.361128125,0.4979914844351566,0.010745904046807864
205,0,5211.0,6.0,50.0,8,5.5769484375000005,0.7039015625,0.10591310115492814,-0.2688783081627386
206,0,5211.0,6.0,40.0,8,0.5632765625,0.15801484374999997,-0.7564387923860092,-4.210565047417683
207,0,5211.0,6.0,30.0,8,0.72422109375,0.19111796874999998,-0.021121700023369216,-1.95927461028384
209,0,5211.0,7.0,1000.0,32,1.3741234375,0.3132765625,0.014470523153382597,-0.23411588308865494
210,0,5211.0,7.0,20.0,8,2.0046828124999996,0.367043359375,0.4314225338967582,0.4085987066293765
211,0,5211.0,7.0,50.0,8,4.45566640625,0.6554734375,-0.25964038285823365,-0.7830014971276531
212,0,5211.0,7.0,40.0,8,0.4637671875,0.13896015625000002,-0.24112279538216508,-2.2069199566477966
213,0,5211.0,7.0,30.0,8,0.619040625,0.16523906249999998,-0.16447563055462666,-4.56219781576741
215,0,5211.0,8.0,1000.0,32,1.236228125,0.287309375,-0.0870247185367683,-0.5464836204104275
216,0,5211.0,8.0,20.0,8,1.224409375,0.26015390625,0.30267081208967705,-1.6246550553932724
217,0,5211.0,8.0,50.0,8,5.002097265625,0.679731640625,-0.16275459564409744,-0.7232441504436398
218,0,5211.0,8.0,40.0,8,0.6024390625,0.17402812499999998,-0.34073069353669716,-1.699599616979595
219,0,5211.0,8.0,30.0,8,0.593794140625,0.164206640625,0.09664095780767168,-0.8899813935378602
223,0,3882.0,0.0,20.0,8,33.66679218749999,0.8782296875,0.6761395289118368,0.6186010281925189
226,0,3882.0,0.0,30.0,8,70.91229765624999,0.95819609375,0.7826173225429738,0.7562167485637606
229,0,3882.0,1.0,20.0,8,33.66679218749999,0.8782296875,0.6761395289118368,0.6186010281925189
